EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Time
125	1	1	60	179	1	1	45	0.655284	
126	1	1	60	63	1	10	45	0.260795	
127	1	1	60	56	1	8	45	0.308731	
129	1	1	60	138	1	9	45	0.449869	
130	1	1	60	118	1	9	45	0.386216	
131	1	1	60	61	1	8	45	0.497221	
132	1	1	0	13	3	10	45	0.293055	
132	2	1	60	13	1	10	45	0.294339	
133	1	1	60	113	1	8	45	0.433703	
134	1	1	60	9	1	10	45	0.250968	
135	1	1	60	26	1	10	45	0.369141	
136	1	1	60	36	1	2	45	0.385344	
137	1	1	60	58	1	10	45	0.339712	
138	1	1	60	24	1	10	45	0.350806	
141	1	1	60	4	1	2	45	0.353625	
142	1	1	60	183	1	1	45	0.627653	
143	1	1	60	111	1	9	45	0.499792	
144	1	1	0	58	3	9	45	0.542112	
144	2	1	60	58	1	9	45	0.542494	
145	1	1	60	88	1	5	45	0.376189	
146	1	1	60	164	1	3	45	0.635458	
147	1	1	60	190	1	1	45	0.662817	
148	1	1	60	79	1	10	45	0.303784	
149	1	1	60	29	1	10	45	0.276644	
150	1	1	60	119	1	7	45	0.397195	
151	1	1	60	11	1	10	45	0.353508	
152	1	1	60	44	1	10	45	0.25227	
153	1	1	60	41	1	3	45	0.295115	
154	1	1	60	24	1	9	45	0.442533	
156	1	1	60	56	1	5	45	0.321859	
158	1	1	60	37	1	10	45	0.341432	
160	1	1	60	37	1	10	45	0.247946	
161	1	1	60	22	1	10	45	0.245719	
162	1	1	9.74318	155	2	1	45	0.717825	
162	2	1	50.2568	155	1	1	45	0.718912	
163	1	1	60	139	1	1	45	0.474985	
164	1	1	60	19	1	4	45	0.329898	
165	1	1	60	67	1	10	45	0.330585	
166	1	1	60	130	1	1	45	0.67542	
167	1	1	7.90301	5	2	10	45	0.270586	
167	2	1	52.097	5	1	10	45	0.270697	
168	1	1	60	87	1	10	45	0.509113	
169	1	1	60	72	1	3	45	0.309952	
170	1	1	60	110	1	6	45	0.432977	
171	1	1	60	135	1	10	45	0.432743	
173	1	1	60	32	1	10	45	0.245088	
174	1	1	60	29	1	10	45	0.271637	
175	1	1	60	9	1	10	45	0.251651	
177	1	1	60	53	1	10	45	0.340377	
178	1	1	60	177	1	1	45	0.708439	
179	1	1	60	37	1	9	45	0.258076	
180	1	1	60	99	1	5	45	0.445806	
181	1	1	60	18	1	10	45	0.398483	
182	1	1	60	91	1	10	45	0.291831	
183	1	1	60	69	1	7	45	0.320383	
184	1	1	60	74	1	7	45	0.354686	
185	1	1	60	132	1	5	45	0.699567	
186	1	1	60	34	1	10	45	0.347625	
187	1	1	60	10	1	10	45	0.334912	
189	1	1	0	56	3	9	45	0.377287	
189	2	1	60	56	1	9	45	0.378851	
190	1	1	60	123	1	1	45	0.620614	
192	1	1	60	15	1	7	45	0.363341	
194	1	1	0	121	3	1	45	0.417819	
194	2	1	0	121	4	1	45	0.420306	
195	1	1	60	24	1	6	45	0.387712	
196	1	1	60	139	1	8	45	0.65267	
197	1	1	0	175	3	8	45	0.537197	
197	2	1	60	175	1	8	45	0.537337	
200	1	1	60	103	1	5	45	0.679822	
201	1	1	60	94	1	10	45	0.307669	
202	1	1	60	34	1	6	45	0.359676	
203	1	1	60	88	1	6	45	0.437706	
204	1	1	60	18	1	10	45	0.420721	
205	1	1	60	113	1	2	45	0.657468	
206	1	1	60	13	1	1	45	0.329927	
207	1	1	0	111	4	10	45	0.377025	
207	2	1	60	135	1	6	45	0.406939	
208	1	1	60	181	1	3	45	0.721847	
209	1	1	60	24	1	3	45	0.345083	
210	1	1	60	120	1	10	45	0.411938	
211	1	1	60	149	1	1	45	0.713455	
212	1	1	60	110	1	10	45	0.349318	
213	1	1	60	29	1	6	45	0.307192	
214	1	1	60	21	1	3	45	0.409941	
215	1	1	60	42	1	7	45	0.293718	
218	1	1	60	112	1	10	45	0.350226	
219	1	1	60	49	1	10	45	0.272744	
220	1	1	60	121	1	10	45	0.409694	
221	1	1	60	21	1	2	45	0.287877	
222	1	1	60	53	1	6	45	0.292411	
223	1	1	60	182	1	1	45	0.696693	
224	1	1	60	8	1	2	45	0.380263	
225	1	1	60	9	1	10	45	0.258503	
226	1	1	60	19	1	10	45	0.246835	
227	1	1	60	46	1	8	45	0.43639	
228	1	1	60	127	1	10	45	0.502734	
229	1	1	60	138	1	10	45	0.387075	
230	1	1	60	96	1	10	45	0.370008	
231	1	1	60	186	1	3	45	0.650576	
232	1	1	60	129	1	10	45	0.400499	
233	1	1	60	20	1	10	45	0.335793	
234	1	1	60	51	1	10	45	0.385376	
235	1	1	60	62	1	10	45	0.280422	
236	1	1	60	191	1	9	45	0.696891	
238	1	1	60	174	1	7	45	0.716605	
239	1	1	60	113	1	5	45	0.393444	
240	1	1	60	41	1	7	45	0.286339	
241	1	1	60	154	1	3	45	0.458066	
242	1	1	60	98	1	3	45	0.401803	
243	1	1	60	59	1	10	45	0.336983	
244	1	1	60	89	1	6	45	0.302791	
245	1	1	60	50	1	6	45	0.521145	
246	1	1	60	13	1	1	45	0.393475	
247	1	1	60	52	1	5	45	0.320544	
249	1	1	60	4	1	10	45	0.294108	
250	1	1	60	182	1	1	45	0.573911	
251	1	1	60	2	1	2	45	0.304949	
252	1	1	60	73	1	1	45	0.616947	
254	1	1	60	55	1	8	45	0.427788	
255	1	1	60	7	1	3	45	0.36095	
256	1	1	60	44	1	10	45	0.383273	
258	1	1	60	26	1	10	45	0.274272	
259	1	1	60	128	1	1	45	0.697842	
261	1	1	60	95	1	1	45	0.343599	
262	1	1	60	90	1	10	45	0.294339	
263	1	1	0	68	3	10	45	0.496696	
263	2	1	60	68	1	10	45	0.499791	
264	1	1	60	112	1	9	45	0.333406	
267	1	1	60	19	1	10	45	0.282726	
268	1	1	60	42	1	10	45	0.478317	
269	1	1	60	147	1	2	45	0.442347	
271	1	1	60	66	1	10	45	0.413013	
272	1	1	60	8	1	10	45	0.405681	
273	1	1	60	120	1	10	45	0.363018	
275	1	1	60	112	1	3	45	0.409078	
277	1	1	60	34	1	10	45	0.452254	
280	1	1	60	191	1	1	45	0.641688	
281	1	1	60	140	1	10	45	0.710912	
284	1	1	60	1	1	10	45	0.295409	
287	1	1	60	46	1	9	45	0.446025	
288	1	1	60	100	1	3	45	0.356874	
289	1	1	60	154	1	7	45	0.717087	
290	1	1	60	134	1	10	45	0.710502	
291	1	1	0	64	3	3	45	0.446914	
291	2	1	60	64	1	3	45	0.4474	
292	1	1	60	23	1	2	45	0.306712	
293	1	1	60	4	1	9	45	0.288643	
294	1	1	60	8	1	3	45	0.297551	
295	1	1	60	96	1	10	45	0.314697	
296	1	1	60	58	1	5	45	0.31063	
297	1	1	60	109	1	8	45	0.452723	
299	1	1	60	85	1	1	45	0.412633	
300	1	1	60	122	1	9	45	0.385158	
302	1	1	60	106	1	1	45	0.41612	
303	1	1	60	10	1	10	45	0.408045	
304	1	1	60	103	1	8	45	0.440315	
305	1	1	60	43	1	10	45	0.248796	
306	1	1	60	93	1	10	45	0.471026	
307	1	1	60	12	1	10	45	0.347008	
308	1	1	60	12	1	2	45	0.354487	
310	1	1	60	97	1	8	45	0.37069	
311	1	1	60	83	1	3	45	0.306639	
312	1	1	60	30	1	3	45	0.330187	
313	1	1	60	26	1	9	45	0.257658	
314	1	1	11.41	19	2	4	45	0.325183	
314	2	1	48.59	19	1	4	45	0.325797	
317	1	1	60	74	1	10	45	0.301491	
319	1	1	60	106	1	3	45	0.362946	
320	1	1	60	24	1	9	45	0.408578	
321	1	1	60	129	1	10	45	0.401065	
323	1	1	60	146	1	1	45	0.698727	
324	1	1	0	78	3	5	45	0.612903	
324	2	1	60	78	1	5	45	0.613577	
325	1	1	60	9	1	1	45	0.322619	
326	1	1	60	70	1	8	45	0.38078	
328	1	1	60	179	1	2	45	0.705254	
330	1	1	60	83	1	2	45	0.310204	
331	1	1	60	56	1	9	45	0.507371	
332	1	1	60	90	1	10	45	0.363683	
333	1	1	60	134	1	1	45	0.666459	
334	1	1	60	137	1	10	45	0.489548	
335	1	1	60	63	1	10	45	0.273313	
336	1	1	60	138	1	6	45	0.471312	
337	1	1	60	40	1	10	45	0.404959	
338	1	1	0	53	4	1	45	0.304291	
338	2	1	60	183	1	1	45	0.695479	
339	1	1	60	124	1	1	45	0.707203	
340	1	1	60	69	1	10	45	0.294022	
341	1	1	60	96	1	8	45	0.430324	
342	1	1	60	40	1	10	45	0.25821	
343	1	1	60	91	1	6	45	0.619543	
344	1	1	60	174	1	1	45	0.691037	
345	1	1	60	117	1	5	45	0.360997	
349	1	1	60	127	1	9	45	0.423028	
351	1	1	60	156	1	1	45	0.453975	
353	1	1	0	97	4	1	45	0.411599	
353	2	1	60	159	1	1	45	0.585577	
354	1	1	60	69	1	10	45	0.267163	
356	1	1	60	2	1	2	45	0.359573	
357	1	1	60	53	1	10	45	0.423185	
358	1	1	60	35	1	10	45	0.310267	
359	1	1	60	88	1	8	45	0.492584	
360	1	1	60	36	1	9	45	0.479872	
362	1	1	60	178	1	3	45	0.655992	
363	1	1	60	165	1	1	45	0.716266	
365	1	1	0	72	4	10	45	0.330625	
365	2	1	60	96	1	1	45	0.384299	
366	1	1	60	85	1	4	45	0.415222	
367	1	1	60	155	1	1	45	0.690685	
368	1	1	60	15	1	10	45	0.272637	
369	1	1	60	5	1	6	45	0.385294	
371	1	1	60	95	1	10	45	0.354874	
372	1	1	60	110	1	7	45	0.345618	
373	1	1	60	87	1	10	45	0.289389	
374	1	1	60	84	1	1	45	0.627613	
375	1	1	60	1	1	4	45	0.304073	
376	1	1	60	59	1	4	45	0.335124	
377	1	1	60	114	1	8	45	0.346101	
378	1	1	60	80	1	9	45	0.488644	
379	1	1	60	59	1	5	45	0.291599	
380	1	1	60	110	1	1	45	0.638465	
382	1	1	60	1	1	7	45	0.33357	
383	1	1	60	75	1	6	45	0.324444	
384	1	1	60	27	1	2	45	0.369014	
386	1	1	60	63	1	3	45	0.391249	
387	1	1	60	10	1	7	45	0.313925	
388	1	1	60	65	1	2	45	0.321025	
389	1	1	0	40	3	2	45	0.360337	
389	2	1	60	40	1	2	45	0.360687	
390	1	1	60	51	1	2	45	0.452413	
391	1	1	60	5	1	10	45	0.285009	
393	1	1	60	34	1	7	45	0.418173	
396	1	1	0	19	4	10	45	0.341961	
396	2	1	60	36	1	3	45	0.388991	
397	1	1	60	96	1	10	45	0.38129	
398	1	1	60	8	1	10	45	0.307475	
401	1	1	60	57	1	8	45	0.334638	
402	1	1	60	149	1	7	45	0.466029	
403	1	1	60	48	1	10	45	0.497048	
405	1	1	60	92	1	10	45	0.3125	
409	1	1	60	5	1	10	45	0.309983	
412	1	1	60	169	1	1	45	0.722237	
413	1	1	60	7	1	10	45	0.268266	
414	1	1	60	81	1	5	45	0.303337	
419	1	1	60	85	1	10	45	0.317885	
420	1	1	60	1	1	5	45	0.297224	
421	1	1	60	68	1	10	45	0.362944	
424	1	1	60	11	1	10	45	0.373104	
425	1	1	60	67	1	5	45	0.369562	
426	1	1	60	91	1	10	45	0.292338	
427	1	1	60	124	1	3	45	0.432002	
